cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
22471-55-2,TUEUDXZEBRMJEV-UWVGGRQHSA-N,"[""unifac_dortmund""]","cyclohexanecarboxylic acid, 2,2,6-trimethyl-, ethyl ester, (1r,6s)-rel-",water-TUEUDXZEBRMJEV-UWVGGRQHSA-N,False,CCOC(=O)[C@@H]1[C@@H](C)CCCC1(C)C
22487-87-2,VIHUHUGDEZCPDK-UHFFFAOYSA-N,"[""unifac_dortmund""]",5-methyl-2-heptene,water-VIHUHUGDEZCPDK-UHFFFAOYSA-N,False,CC=CCC(C)CC
22502-03-0,PLHCSZRZWOWUBW-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-methoxyethyl acetoacetate,water-PLHCSZRZWOWUBW-UHFFFAOYSA-N,False,COCCOC(=O)CC(C)=O
22531-00-6,OCVYLEAVUIYGLL-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclopentene,3-butyl-",water-OCVYLEAVUIYGLL-UHFFFAOYSA-N,False,CCCCC1C=CCC1
22531-20-0,DLHGUEXPTGUBGR-UHFFFAOYSA-N,"[""unifac_dortmund""]",6-ethyltetralin,water-DLHGUEXPTGUBGR-UHFFFAOYSA-N,False,CCc1ccc2c(c1)CCCC2
22539-65-7,GDEQPEBFOWYWSA-UHFFFAOYSA-N,"[""unifac_dortmund""]","1-isopropyl-2,3-dimethylbenzene",water-GDEQPEBFOWYWSA-UHFFFAOYSA-N,False,Cc1cccc(C(C)C)c1C
22539-72-6,IRZQJXCCKXGQFV-UHFFFAOYSA-N,"[""unifac_dortmund""]","p-mentha-1,4-dien-7-ol",water-IRZQJXCCKXGQFV-UHFFFAOYSA-N,False,CC(C)C1=CCC(CO)=CC1
22567-21-1,KRCZYMFUWVJCLI-GUBZILKMSA-N,"[""unifac_dortmund""]",(+)-dihydrocarveol,water-KRCZYMFUWVJCLI-GUBZILKMSA-N,False,C=C(C)[C@H]1CC[C@H](C)[C@@H](O)C1
2258-58-4,OUARJKDCCMXOEF-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl 3-methyl-3-pentenoate,water-OUARJKDCCMXOEF-UHFFFAOYSA-N,False,CC=C(C)CC(=O)OC
22616-15-5,CXFWZMIYAODOSX-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-1-nonen-3-ol,water-CXFWZMIYAODOSX-UHFFFAOYSA-N,False,C=CC(C)(O)CCCCCC
22627-70-9,SUQNVCCJLBQVEI-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-ethoxy-2-cyclopentenone,water-SUQNVCCJLBQVEI-UHFFFAOYSA-N,False,CCOC1=CC(=O)CC1
22630-75-7,PKCMTAKKGOCYFF-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclo[3.2.0]hept-1-ene,water-PKCMTAKKGOCYFF-UHFFFAOYSA-N,False,C1=C2CCC2CC1
22632-59-3,WPRYUWYMOZQHIY-UHFFFAOYSA-N,"[""unifac_dortmund""]","valeric acid, 2-propyl-, methyl ester",water-WPRYUWYMOZQHIY-UHFFFAOYSA-N,False,CCCC(CCC)C(=O)OC
22634-89-5,XLVQNXPLYGVRKU-UHFFFAOYSA-N,"[""unifac_dortmund""]",brn 1342061,water-XLVQNXPLYGVRKU-UHFFFAOYSA-N,False,C=CC1OC(C)CC(C)(C)O1
22635-78-5,NODMEAHDWHZSNR-UHFFFAOYSA-N,"[""unifac_dortmund""]","spiro[3.3]hepta-1,5-diene",water-NODMEAHDWHZSNR-UHFFFAOYSA-N,False,C1=CC2(C=CC2)C1
