comparison_allowed,context_id,endpoint_relative_error,error,heos_delta_h_j_kg,model_delta_h_j_kg,pressure_pa,status,task_key,temperature_k
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004839645313221341,,2626117.3424122203,2638826.818900395,101325.0,ok,d6a6578ba1aa9c03f27964b8cff3639a3271038522b856df4a5b1d6f0739ae78,390.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005628690950136184,,2624056.814058461,2638826.818900395,120100.539483,ok,f3c5b6d7106673443229e8017b9c58d33d8d8780a56100ead0ba575c04935238,390.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006584999177411177,,2621563.8232805617,2638826.818900395,142355.189579,ok,fba6a096eabbc1918408a2e7d0c135578940855d1f1c534503a2e1534f4a49bb,390.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.007753344296837161,,2618524.4969260255,2638826.818900395,168733.630067,ok,294af680b864c2558a9c423a6f3131d4d3fbf7ed8340abc3f8eca66590822619,390.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07877658060804282,,406353.5552005883,374342.4116039644,200000.0,ok,85717f5a1046d3e8f0ced4a8f43d5fdef09b556a5b7b19121bb03d191f3eacdd,390.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.008755395177048708,,2622979.317870291,2645944.538339471,200000.0,ok,4438217126603a264e27adf0c577829f3c332d539ed513a87908a686278008e1,393.75
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004586341694771345,,2636227.9072971134,2648318.54926527,101325.0,ok,a89e655d40db86dade2396f13a8954ad39504681cdee0f52cdce5cd3210c2fde,395.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005322343921341233,,2634297.9097980545,2648318.54926527,120100.539483,ok,363504b14a51fb66bf1353521a3db8029d22f9821bb113dfbe30ec5a870d4d54,395.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006211588563293402,,2631969.835535922,2648318.54926527,142355.189579,ok,db38ed696347529dc6a18c76e85d1371754a4c2190777701b02208c9a7aa9e6b,395.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.007292003636877542,,2629146.8012288245,2648318.54926527,168733.630067,ok,14bcc056de06a24dc896045aadf95f3c248612a97f8a6e8e9da68227f7111bdd,395.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.008616947557197996,,2625693.0896107964,2648318.54926527,200000.0,ok,aeaafb7809acc729d277543f67b643c8d5df80ff34c63435617949f5bdd6b5d1,395.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004356199754141699,,2646294.085069558,2657821.870712325,101325.0,ok,ce24be961ab71f9edcf8268b9acaa0230219b98548c086c857a27679cd3b2bfe,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005044858405358399,,2644480.8393222606,2657821.870712325,120100.539483,ok,b305061f0d82e4b739fb4714defb0f0b40f7066b3819437a824c27a5fdbaf475,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005875101066236343,,2642298.1023141053,2657821.870712325,142355.189579,ok,1b404285eda47f9a79ecf9ff93be8ba9fc410f2292de9943d5daeab05e9c181d,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006880277191486428,,2639660.2763198884,2657821.870712325,168733.630067,ok,c4331d78325596da3f1e4573fec7154a94c6ec99662a38006153bbc554e0ac84,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006880277191587458,,2639660.2763196235,2657821.870712325,168733.630068,ok,67dbacec70738a54b9e4a40a4a56cb2bb988f0bc74081c839ed30d0f7c5f4c54,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.008105095449862487,,2636453.1661515743,2657821.870712325,200000.0,ok,28fe7c609c72184ac430f2ccd185e73b0c9fe577f6a8daf3a3381beb990b93fc,400.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004146352554167176,,2656322.9406057997,2667336.9920152733,101325.0,ok,88d703f2b7dace040a30e6cd83d17f314c36495bcc4c71ec2d384212d6ff1a9b,405.0
