acquisition_route,conditions,control_task,id,kind,priority,property,reason,reference_value,satisfied,status,training_overlap_known,unit,water_context_id
phase_measurement_adapter_required,"{""additive_cas"":""64-17-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":371.875,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-315355396c382f1915aa2dcb,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-42-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-3193a22bfe9281c2fb3ca22e,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-76-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-342db5b942c99f8723db9f29,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""109-87-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-349168b1989bd4ec59a451a9,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-42-2"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-36dd307bbb0c09acbdfe5a24,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-92-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-38d01754518793e942128988,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""98-82-8"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-3c6202ea95b7b460eb7bf634,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-20-3"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-40c51b2a3ecc5d0fd9016e31,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-46-6"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":362.5,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-453d715b10d8baef7b22fd42,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""67-56-1"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":371.875,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-47a282c7adc2746b698898ac,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-92-2"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-47e105d2f60d80cfcd8bed9f,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""100-51-6"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-485cc98855548577ff80614a,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-79-7"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":110314.038831,""water_cas"":""7732-18-5""}",,need-4bbedf737b018dbfc83679fe,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-78-6"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-4d6a053af475da4f96d13f39,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-91-1"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":105724.02747,""water_cas"":""7732-18-5""}",,need-4da58cfc94f704f29a63a406,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""108-94-1"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-4e27acdb4ca905f63cd3fb36,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-86-4"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-4e626c750e494b9e7d8b87f9,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""141-79-7"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":393.75,""pressure_pa"":200000.0,""water_cas"":""7732-18-5""}",,need-4e762d2d29d7871f4be7afdd,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-27-3"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-4efb0a12c80bde4da3fd9a03,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""64-17-5"",""additive_mass_fraction"":0.0001,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":105724.02747,""water_cas"":""7732-18-5""}",,need-50de12a356afeea62022ed97,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""64-17-5"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":371.875,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-516e0f82de8a2b1e6c9eddf6,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""123-91-1"",""additive_mass_fraction"":0.000177827941004,""composition_basis"":""mass"",""outlet_temperature_k"":375.0,""pressure_pa"":105724.02747,""water_cas"":""7732-18-5""}",,need-57dacd462ea40877c54380c5,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
phase_measurement_adapter_required,"{""additive_cas"":""111-76-2"",""additive_mass_fraction"":0.000316227766017,""composition_basis"":""mass"",""outlet_temperature_k"":368.75,""pressure_pa"":101325.0,""water_cas"":""7732-18-5""}",,need-5847f6d4069098a9dfc96938,mixture_phase_reference,5,equilibrium_phase_split,unresolved_sampled_phase_or_feasibility_transition,,False,acquisition_adapter_required,False,phase_fractions_and_compositions,
